	1	2	3	4	5	6	7	8
1223_4_i1	0.26103744561182146	0.08019238637613811	0.08803089995486854	0.09776813608909389	0.0742901803689069	0.298171894255599	0.10327637867555702	0.10317720857308782
	1	2	3	4	5	6	7	8
1223_4_i2	0.21429617631103837	0.16531203250098597	0.3693669711981267	0.392922361107913	0.10114218373063752	0.20284768986982157	0.0994617259668785	0.055468691149591375
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R1	0.04135892683944466	0.00296557025258036	0.06238371071906519	0.0067620024601885275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.755340998303451e-05	0.0	0.00023649219374846908	0.0003788060802519726	0.0003432276086260967	0.00021033155284708977	2.0928512721103457e-06	0.0030534700060089945	0.001095607640949766	0.0008319083806638625	0.002244582989338346	0.0006864552172521934	5.9646261255144855e-05	2.092851272110346e-05	5.859983561908968e-05	0.0	0.0021022691028348426	0.00016952095304093801	3.1392769081655185e-06	7.638907143202763e-05	0.000636226786721545	0.00016010312231644143	0.0011782752661981246	4.0810599806151745e-05	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2	0.2309754377951862	0.025725327836780373	0.015055972051561829	0.0058139408339225405	0.004386616266343285	0.0098719794505445	0.0032167124052336015	0.0024360788807364425	0.0038278249766898224	0.0034207654042643604	0.004129195559873712	0.004819836479670127	0.005484316758565161	0.005986601063871644	0.006524463840804003	0.008693704184346377	0.011665552990743068	0.009339348801792418	0.004464051763411368	0.004226513144026844	0.005214338944462927	0.00450695521448963	0.005045864417058044	0.0050197037761566645	0.004103034918972333	0.004279880851465657	0.006464817579548858	0.006516092435715562	0.005962533274242375	0.0030712592418219325	0.0015298742799126628	0.0008716725548339589	0.0006100661458201658	0.00036415612134720017	0.00023021363993213804	8.89461790646897e-05	5.127485616670347e-05	1.5696384540827593e-05	0.00024591002447296565	0.0017642736223890216	0.0002155636810273656	0.0	0.0	0.0	7.32497945238621e-06	0.0	2.0928512721103457e-06	0.0	0.0	6.278553816331037e-06	1.2557107632662074e-05	0.0006194839765446624	2.0928512721103457e-06	0.00025323500392535183	9.417830724496557e-06
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R1	0.04140420097097866	0.0028766296281556723	0.06261910837967499	0.006833648059531992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.910858196457484e-05	1.8887916140221094e-06	0.00020871147334944307	0.0003654811773132782	0.0003201501785767476	0.00020871147334944307	9.443958070110547e-07	0.0030079006453302094	0.0011417745306763652	0.0008660109550291371	0.002161722002248304	0.0006790205852409483	3.7775832280442186e-05	1.8887916140221093e-05	4.5330998736530626e-05	0.0	0.0019945639444073474	0.00015299212073579085	7.555166456088437e-06	6.516331068376277e-05	0.0005996913374520197	0.00016149168299889034	0.0011172202396940777	5.194176938560801e-05	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2	0.22993015834136746	0.025500575580912496	0.014759017671968761	0.005702261882732748	0.004232782007023547	0.009432625320426415	0.0032128345354516083	0.0023609895175276366	0.0037039203550973563	0.003288386200012492	0.004026903721095137	0.004651149349529445	0.005285783331840873	0.005849587628626473	0.006393559613464841	0.008585502281537498	0.011462131909693172	0.009265467262585458	0.004323444004496608	0.00411001055211211	0.005072349879456374	0.004327221587724653	0.004927857320983683	0.00495241161196597	0.0039504076607272415	0.004169507487953806	0.006410558737991038	0.006419058300254139	0.005866586753152672	0.0030305661446984743	0.001466646688288168	0.0008093472066084739	0.0005401944016103233	0.0003541484276291455	0.0002294881811036863	8.877320585903914e-05	5.571935261365223e-05	1.9832311947232147e-05	0.0002483760972439074	0.0016564702454973897	0.0002002119110863436	0.0	9.443958070110547e-07	0.0	4.721979035055273e-06	0.0	0.0	0.0	0.0	3.7775832280442187e-06	8.499562263099492e-06	0.0005600267135575554	0.0	0.0002483760972439074	1.4165937105165822e-05
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R1	0.03861667566966859	0.00287461379718184	0.06292210200498027	0.006643551886820252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.769834144881112e-05	0.0	0.00023594500342460266	0.0003441293936411235	0.0003142498953908463	0.00016897371424294685	0.0	0.0029106752605873466	0.0011117234004154857	0.0007614120416191326	0.0020184116231825176	0.0006037719301607735	4.224342856073671e-05	1.3394257836331154e-05	3.606146340550695e-05	0.0	0.0019370157486386591	0.0001360032334150548	7.21229268110139e-06	7.315325433688553e-05	0.0005460735887119624	0.0001246696306304669	0.001033418508449242	2.6788515672662308e-05	0.0	0.0	0.0
