Sample	Read Pair Unique	Read Pair Not Optical Duplicates	Read Pair Optical Duplicates
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACCest_lib_complex_metrics	28661797.0	6686609.0	463515.0
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP	22533159.0	5027442.0	284822.0
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIPest_lib_complex_metrics	23151466.0	4613326.0	276212.0
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP	34229423.0	9927333.0	723330.0
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIPest_lib_complex_metrics	35205357.0	9156445.0	698358.0
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC	23827665.0	5055429.0	315121.0
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACCest_lib_complex_metrics	24414627.0	4631508.0	304793.0
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP	23475172.0	4920904.0	294918.0
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIPest_lib_complex_metrics	24110631.0	4498225.0	285156.0
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP	27179702.0	6188738.0	414510.0
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIPest_lib_complex_metrics	27916027.0	5694871.0	400801.0
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP	41408489.0	10912599.0	591653.0
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIPest_lib_complex_metrics	42796135.0	9988000.0	574146.0
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC	25310493.0	5644091.0	370176.0
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACCest_lib_complex_metrics	25968216.0	5160355.0	357384.0
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP	21707142.0	4476268.0	290336.0
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIPest_lib_complex_metrics	22232777.0	4090223.0	281092.0
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP	20565124.0	4482046.0	324749.0
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIPest_lib_complex_metrics	21118999.0	4131302.0	312737.0
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC	34674588.0	7560946.0	406863.0
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACCest_lib_complex_metrics	35533465.0	6855748.0	391744.0
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP	23387583.0	4635552.0	280035.0
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIPest_lib_complex_metrics	23989540.0	4243708.0	271535.0
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP	29708361.0	7356437.0	468383.0
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_est_lib_complex_metrics	30554930.0	6756604.0	453694.0
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIPest_lib_complex_metrics	30554930.0	6756604.0	453694.0
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC	20914592.0	4035519.0	248027.0
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACCest_lib_complex_metrics	21412691.0	3702247.0	240289.0
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC	23300290.0	5053406.0	323388.0
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACCest_lib_complex_metrics	23898655.0	4653133.0	313465.0
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP	29326269.0	6647043.0	377619.0
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIPest_lib_complex_metrics	30152304.0	6055430.0	364441.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	45377465.0	10497381.0	558281.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIPest_lib_complex_metrics	46697400.0	9496494.0	540546.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC	27558659.0	6522570.0	410934.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACCest_lib_complex_metrics	28324259.0	5977616.0	398156.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP	27363069.0	6574614.0	384151.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIPest_lib_complex_metrics	28164487.0	6001098.0	371287.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP	23657742.0	4740123.0	292702.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIPest_lib_complex_metrics	24200861.0	4324775.0	281148.0
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC	20976153.0	3945472.0	268927.0
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACCest_lib_complex_metrics	21415135.0	3627935.0	260615.0
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP	31998271.0	7659826.0	431214.0
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIPest_lib_complex_metrics	32906986.0	6967794.0	416895.0
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP	23929973.0	4437510.0	270943.0
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIPest_lib_complex_metrics	24523683.0	4070615.0	262220.0
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP	22172432.0	4612881.0	308040.0
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIPest_lib_complex_metrics	22685561.0	4240556.0	297905.0
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC	28047849.0	6010193.0	339997.0
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACCest_lib_complex_metrics	28790744.0	5483285.0	329079.0
