Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R1						53.61639791582249	51.0	99.12540401880086	18.181818181818183	35528359.0	
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2						56.17845838603296	51.0	99.07040806472374	9.090909090909092	35528359.0	1.8465685155882139
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACCest_lib_complex_metrics			0.190429								
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP			0.211708	94.12	49972447.0						
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R1						57.87178544772276	51.0	99.14273065173005	18.181818181818183	53096892.0	
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2						61.34497051542816	51.0	99.10362384299255	9.090909090909092	53096892.0	1.8495179215028672
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIPest_lib_complex_metrics			0.191028								
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP			0.219966	94.43	51050167.0						
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R1						58.72071797803045	51.0	99.20885443885896	18.181818181818183	54061427.0	
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2						61.73729251663393	52.0	99.16416645827718	9.090909090909092	54061427.0	1.845977023764302
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIPest_lib_complex_metrics			0.198367								
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC			0.194235	93.92	36945402.0						
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R1						53.98217769698959	51.0	99.2291417001669	18.181818181818183	39336044.0	
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2						56.91204529865373	51.0	99.18631253310576	9.090909090909092	39336044.0	1.6705190842962785
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACCest_lib_complex_metrics			0.176735								
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP			0.18414	94.4	33675287.0						
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R1						54.801394783023184	51.0	99.22018091819069	18.181818181818183	35671261.0	
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2						57.7672129520239	52.0	99.1893291913622	9.090909090909092	35671261.0	1.700614905499403
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIPest_lib_complex_metrics			0.166624								
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP			0.214805	94.25	39492227.0						
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R1						54.34769541507779	51.0	99.20040217927536	18.181818181818183	41900717.0	
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2						56.8370914510851	51.0	99.15655973142417	9.090909090909092	41900717.0	1.7886349304522116
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIPest_lib_complex_metrics			0.197398								
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC			0.194416	93.98	42882731.0						
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R1						54.39795662641143	51.0	99.19662699240222	18.181818181818183	45627647.0	
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2						57.78881121265341	51.0	99.14835415466416	9.090909090909092	45627647.0	1.7603458361334854
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACCest_lib_complex_metrics			0.175947								
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP			0.212853	94.17	55984564.0						
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R1						57.89832094489675	51.0	99.20536417435913	18.181818181818183	59449298.0	
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2						60.45252822375603	52.0	99.14880253085579	9.090909090909092	59449298.0	1.8422129557990368
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIPest_lib_complex_metrics			0.191667								
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP			0.215016	94.41	49647735.0						
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R1						57.375695017757074	51.0	99.20544311247623	18.181818181818183	52589176.0	
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2						60.00272941429775	52.0	99.14460682935972	9.090909090909092	52589176.0	1.84041588630727
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIPest_lib_complex_metrics			0.195263								
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP			0.186381	94.35	32765574.0						
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R1						50.918423643437535	51.0	99.26618741165434	18.181818181818183	34727232.0	
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2						53.05738423302853	51.0	99.17704324951669	9.090909090909092	34727232.0	1.7814516302591308
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIPest_lib_complex_metrics			0.170323								
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC			0.184977	93.79	28025464.0						
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R1						50.35734139459929	50.0	99.17960683944028	18.181818181818183	29881685.0	
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2						53.63977198041914	51.0	99.14954340760904	9.090909090909092	29881685.0	1.6701678106029338
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACCest_lib_complex_metrics			0.169318								
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP			0.212035	94.3	44497439.0						
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R1						57.0686294847006	51.0	99.17112082922746	18.181818181818183	47185413.0	
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2						61.07232723883646	52.0	99.1579090766886	9.090909090909092	47185413.0	1.7115713199004696
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIPest_lib_complex_metrics			0.192454								
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP			0.174526	94.54	28625324.0						
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R1						48.99557633529504	51.0	99.19293067521029	9.090909090909092	30280063.0	
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2						52.15420957981724	51.0	99.1575849099125	9.090909090909092	30280063.0	1.7207704758471265
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIPest_lib_complex_metrics			0.160375								
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC			0.217996	93.74	34017398.0						
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R1						54.43292415631677	51.0	99.1679519642653	18.181818181818183	36289650.0	
