Sample	bp_processed	quality_trimmed	bp_written	percent_trimmed
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2	6081717020	49329859	5980142140	1.6701678106029338
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2	9607779126	79846678	9443335134	1.7115713199004696
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2	6166725690	51924978	6060610495	1.7207704758471265
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2	7396490782	65976495	7261394572	1.8264906153708502
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2	5781743182	48451650	5682730046	1.7125135600670132
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2	9284456916	78304127	9132369198	1.638089544450421
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2	6051815162	50287514	5951763362	1.6532527402395902
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2	5961370672	52344224	5854342539	1.7953611491179557
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2	7017648468	61647546	6892378732	1.7850671285576851
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2	10996091190	90503194	10808561219	1.705423934375357
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2	6506535342	60204876	6388945728	1.807253904254594
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2	5481960234	46030820	5391362889	1.652645060029817
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2	5287997612	51909862	5181093272	2.0216412306503893
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2	8834401522	81278603	8680107734	1.7465109279419504
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R2	5879693588	50515170	5775242200	1.776476723432956
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R2	7778859814	63885543	7650082139	1.655482655288792
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R2	5234780106	45942392	5142908625	1.75502082493778
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R2	5955216136	50239880	5853975456	1.700033679516481
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R2	7549077340	68495365	7412827695	1.8048516244238133
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R2	11709316022	102755127	11509064543	1.7101893793263274
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC_R2	7163985752	62218600	7040155945	1.7285043729383454
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP_R2	7131422140	64649880	7000005718	1.8427800152635474
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP_R2	5958917180	59856299	5843218416	1.9416071830687869
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC_R2	5211331138	41220282	5131005330	1.5413683351318828
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP_R2	8312494728	72723852	8169497668	1.7202664744956215
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP_R2	5961754068	54642511	5848462288	1.9003095181013765
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP_R2	5613833510	48816795	5519087530	1.687723368198
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R2	7142589710	62596649	7017586311	1.7501131112849546
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R2	5112720798	46067746	5021281908	1.7884585060026978
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP_R2	4345423394	39377199	4268257233	1.7758030461783814
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC_R2	6913976614	62914574	6785043352	1.8648206263660931
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP_R2	6895545932	60483757	6771882328	1.7933838048430246
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP_R2	7154726880	61960599	7031511985	1.7221467299391866
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R2	5259113834	46769042	5168578167	1.7215004249326162
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R2	13983850768	118489954	13747347055	1.6912631357680403
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R2	5925692220	52674579	5821231601	1.762842468385913
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R2	4882062048	42340080	4794537337	1.792781618493678
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R2	5501091452	52956318	5399944590	1.8386689783756751
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R2	6499699056	55030032	6392421860	1.650494816386465
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R2	7838640502	68604879	7706131552	1.6904583130989466
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R2	4734145528	43551554	4649371011	1.7907036549384252
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP_R2	6397290308	56551507	6285942832	1.7405412391674129
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP_R2	5650502570	51245355	5550526209	1.7693357318480079
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC_R2	5521672222	50871694	5421780528	1.8090840959737071
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC_R2	9501618026	87506661	9331311400	1.7923960480623093
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP_R2	8052726970	74682471	7906259742	1.818852527170681
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP_R2	8083035050	72868424	7937863517	1.79600276507523
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC_R2	6356514386	57459126	6246037496	1.7380105399166794
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP_R2	6528161866	55606339	6409411503	1.8190474660022775
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP_R2	5713770788	58263628	5601253968	1.9692218007118278
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC_R2	6995335952	66445524	6862474131	1.899291498101877
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP_R2	9726075982	96403112	9540929166	1.903612683497952
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP_R2	7280003442	77609255	7133258426	2.015727288717949
