Sample	bp_processed	quality_trimmed	bp_written	percent_trimmed
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2	9651904208	83678877	9484290282	1.7365891992698483
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2	10694668406	87402866	10508962092	1.7364382601690924
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2	9802708116	81524136	9633933300	1.7217162237496944
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2	9583126440	84539847	9410690017	1.799375434307637
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2	9080477922	83022994	8918538900	1.7833755380612444
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2	13050249390	120122884	12817805047	1.7811486666156346
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2	11567376278	102104120	11372112268	1.6880579079231022
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2	13546067076	110543875	13335397367	1.5552094037187387
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2	11328054960	103385772	11115750471	1.8741477663169814
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2	7238973202	64009022	7105300602	1.8465685155882139
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2	10821734284	96010046	10621584369	1.8495179215028672
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2	11025070918	101687892	10821550642	1.845977023764302
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2	8009535734	66828914	7875734911	1.6705190842962785
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2	7265322890	60885079	7141767726	1.700614905499403
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2	8539348606	76268873	8386610834	1.7886349304522116
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2	9295739828	80357810	9132102659	1.7603458361334854
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2	12122149684	110261327	11898833872	1.8422129557990368
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2	10723046376	97980399	10525697727	1.84041588630727
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2	7079862448	65871416	6953738123	1.7814516302591308
