Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP	Unknown Library	0.0	36350931.0	3804572.0	0.0	0.0	7024662.0	377619.0	0.193246	84940496.0
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIPest_lib_complex_metrics	Unknown	0.0	36572175.0	0.0	0.0	0.0	6419871.0	364441.0	0.17554	95810466.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	Unknown Library	0.0	56433127.0	5821624.0	0.0	0.0	11055662.0	558281.0	0.195907	129428601.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIPest_lib_complex_metrics	Unknown	0.0	56734440.0	0.0	0.0	0.0	10037040.0	540546.0	0.176913	146946362.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC	Unknown Library	0.0	34492163.0	3640130.0	0.0	0.0	6933504.0	410934.0	0.201017	77274037.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACCest_lib_complex_metrics	Unknown	0.0	34700031.0	0.0	0.0	0.0	6375772.0	398156.0	0.18374	86617686.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP	Unknown Library	0.0	34321834.0	3766470.0	0.0	0.0	6958765.0	384151.0	0.20275	75870683.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIPest_lib_complex_metrics	Unknown	0.0	34536872.0	0.0	0.0	0.0	6372385.0	371287.0	0.18451	85498773.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP	Unknown Library	0.0	28690567.0	2842022.0	0.0	0.0	5032825.0	292702.0	0.175417	75309452.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIPest_lib_complex_metrics	Unknown	0.0	28806784.0	0.0	0.0	0.0	4605923.0	281148.0	0.15989	84305183.0
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC	Unknown Library	0.0	25190552.0	2635976.0	0.0	0.0	4214399.0	268927.0	0.167301	70161760.0
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACCest_lib_complex_metrics	Unknown	0.0	25303685.0	0.0	0.0	0.0	3888550.0	260615.0	0.153675	77867705.0
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP	Unknown Library	0.0	40089311.0	4099954.0	0.0	0.0	8091040.0	431214.0	0.201825	88967869.0
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIPest_lib_complex_metrics	Unknown	0.0	40291675.0	0.0	0.0	0.0	7384689.0	416895.0	0.183281	100376632.0
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP	Unknown Library	0.0	28638426.0	2813534.0	0.0	0.0	4708453.0	270943.0	0.16441	80946455.0
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIPest_lib_complex_metrics	Unknown	0.0	28856518.0	0.0	0.0	0.0	4332835.0	262220.0	0.150151	90654676.0
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP	Unknown Library	0.0	27093353.0	2701474.0	0.0	0.0	4920921.0	308040.0	0.181628	68554911.0
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIPest_lib_complex_metrics	Unknown	0.0	27224022.0	0.0	0.0	0.0	4538461.0	297905.0	0.166708	76252833.0
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC	Unknown Library	0.0	34398039.0	3796010.0	0.0	0.0	6350190.0	339997.0	0.184609	84776321.0
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACCest_lib_complex_metrics	Unknown	0.0	34603108.0	0.0	0.0	0.0	5812364.0	329079.0	0.167972	95358830.0
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP	Unknown Library	0.0	24625968.0	2611752.0	0.0	0.0	4228309.0	251930.0	0.171701	66335665.0
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIPest_lib_complex_metrics	Unknown	0.0	24764208.0	0.0	0.0	0.0	3878227.0	243575.0	0.156606	74319175.0
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP	Unknown Library	0.0	20935453.0	2199160.0	0.0	0.0	3231697.0	187976.0	0.154365	63612823.0
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIPest_lib_complex_metrics	Unknown	0.0	21042455.0	0.0	0.0	0.0	2962252.0	181690.0	0.140775	71132310.0
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC	Unknown Library	0.0	33190139.0	3523158.0	0.0	0.0	6275246.0	383210.0	0.18907	80036026.0
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACCest_lib_complex_metrics	Unknown	0.0	33462886.0	0.0	0.0	0.0	5806205.0	371728.0	0.173512	89385897.0
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP	Unknown Library	0.0	33181159.0	3469714.0	0.0	0.0	6821656.0	398761.0	0.205588	72333249.0
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIPest_lib_complex_metrics	Unknown	0.0	33417363.0	0.0	0.0	0.0	6321597.0	386104.0	0.189171	80534005.0
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP	Unknown Library	0.0	34498765.0	3499836.0	0.0	0.0	6593994.0	374062.0	0.191137	81851207.0
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIPest_lib_complex_metrics	Unknown	0.0	34685490.0	0.0	0.0	0.0	6061322.0	362026.0	0.174751	91565522.0
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC	Unknown Library	0.0	25345669.0	2943936.0	0.0	0.0	4435022.0	250163.0	0.174981	66624633.0
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACCest_lib_complex_metrics	Unknown	0.0	25467562.0	0.0	0.0	0.0	4068083.0	242036.0	0.159736	74517038.0
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP	Unknown Library	0.0	67463038.0	6888734.0	0.0	0.0	16576710.0	811807.0	0.245715	117670280.0
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIPest_lib_complex_metrics	Unknown	0.0	67827571.0	0.0	0.0	0.0	15140568.0	784653.0	0.223221	133295324.0
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP	Unknown Library	0.0	28563152.0	3009874.0	0.0	0.0	5240935.0	295362.0	0.183486	71059759.0
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIPest_lib_complex_metrics	Unknown	0.0	28723130.0	0.0	0.0	0.0	4799205.0	285039.0	0.167085	79822419.0
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP	Unknown Library	0.0	23458350.0	2377408.0	0.0	0.0	3615855.0	201524.0	0.154139	71248867.0
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIPest_lib_complex_metrics	Unknown	0.0	23659648.0	0.0	0.0	0.0	3321991.0	195536.0	0.140407	80040709.0
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC	Unknown Library	0.0	26476728.0	2904686.0	0.0	0.0	4592799.0	282351.0	0.173466	70596387.0
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACCest_lib_complex_metrics	Unknown	0.0	26607233.0	0.0	0.0	0.0	4198553.0	272018.0	0.157797	79299126.0
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP	Unknown Library	0.0	31381892.0	3328104.0	0.0	0.0	5845598.0	338201.0	0.186273	76805640.0
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIPest_lib_complex_metrics	Unknown	0.0	31526744.0	0.0	0.0	0.0	5359748.0	327133.0	0.170006	86004276.0
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP	Unknown Library	0.0	37818199.0	3683712.0	0.0	0.0	7485974.0	478878.0	0.197946	86606290.0
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIPest_lib_complex_metrics	Unknown	0.0	38007421.0	0.0	0.0	0.0	6903475.0	462583.0	0.181635	96517186.0
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC	Unknown Library	0.0	22782480.0	2306986.0	0.0	0.0	3753424.0	243963.0	0.16475	64647712.0
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACCest_lib_complex_metrics	Unknown	0.0	22906949.0	0.0	0.0	0.0	3479211.0	235568.0	0.151885	71478045.0
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP	Unknown Library	0.0	30835434.0	3483536.0	0.0	0.0	5768840.0	337384.0	0.187085	75124119.0
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIPest_lib_complex_metrics	Unknown	0.0	30995284.0	0.0	0.0	0.0	5295918.0	326209.0	0.170862	84106607.0
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP	Unknown Library	0.0	27232056.0	2910950.0	0.0	0.0	4472362.0	244480.0	0.164232	76881371.0
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIPest_lib_complex_metrics	Unknown	0.0	27373934.0	0.0	0.0	0.0	4094290.0	236327.0	0.149569	86167236.0
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC	Unknown Library	0.0	26572681.0	3024686.0	0.0	0.0	4871294.0	290532.0	0.18332	66354975.0
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACCest_lib_complex_metrics	Unknown	0.0	26721436.0	0.0	0.0	0.0	4487936.0	280738.0	0.167953	74015528.0
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC	Unknown Library	0.0	45761338.0	4803128.0	0.0	0.0	9222485.0	501965.0	0.201534	101819563.0
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACCest_lib_complex_metrics	Unknown	0.0	45989247.0	0.0	0.0	0.0	8436498.0	484666.0	0.183445	114543970.0
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP	Unknown Library	0.0	38801516.0	4151974.0	0.0	0.0	7243893.0	404106.0	0.186691	94558122.0
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIPest_lib_complex_metrics	Unknown	0.0	38983909.0	0.0	0.0	0.0	6610983.0	389393.0	0.169582	106463245.0
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP	Unknown Library	0.0	38936832.0	3922694.0	0.0	0.0	7040945.0	386965.0	0.18083	98411280.0
