	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2 - Second read: Adapter 2	1.656104682599762	1.6035681974641742	3.3288036310768523	8.936924466352119	30.44228366926635	140.49020931802835	316.22906537007026	1657.4514038876891	5242.758620689655	21756.206896551725	80104.28571428572	301025.0	42228.0	42367.0	55045.0	22034.0	44447.0	21660.0	18867.0	23657.0	22049.0	23884.0	19887.0	14843.0	13205.0	15032.0	9514.0	12995.0	6751.0	8997.0	7330.0	9358.0	5569.0	5598.0	5322.0	6713.0	5335.0	1642.0	3503.0	5105.0	1393.0	2933.0	2634.0	2228.0	2383.0	461.0	1063.0	167.0	311.0	255.0	912.0	992.0	211.0	678.0	883.0	189.0	126.0	558.0	94.0	106.0	387.0	76.0	32.0	72.0	31.0	68.0	57.0	72.0	37.0	70.0	68.0	87.0	85.0	37.0	42.0	52.0	83.0	73.0	93.0	107.0	132.0	141.0	169.0	198.0	183.0	220.0	231.0	259.0	294.0	444.0	232.0	319.0	341.0	384.0	507.0	633.0	212.0	120.0	2380.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2 - First read: Adapter 1	1.3473892274748807	1.4447328986554413	2.974834499981653	8.14268323217323	26.776143113689738	113.23387208177925	397.25414364640886	1433.3407079646017	5384.778761061946	20649.64285714286	69124.28571428572	248990.0	43984.0	40764.0	39461.0	34394.0	27168.0	26563.0	25444.0	21198.0	21319.0	19325.0	17328.0	14612.0	15001.0	12409.0	11785.0	10253.0	8254.0	7782.0	7358.0	7054.0	5947.0	5565.0	5185.0	4756.0	4044.0	4474.0	2423.0	3435.0	3295.0	2482.0	3634.0	282.0	1078.0	1738.0	1494.0	1132.0	1301.0	1068.0	905.0	831.0	1119.0	694.0	657.0	792.0	627.0	188.0	203.0	514.0	198.0	193.0	171.0	284.0	193.0	209.0	47.0	18.0	12.0	42.0	72.0	100.0	79.0	67.0	70.0	56.0	91.0	99.0	96.0	83.0	92.0	118.0	140.0	168.0	126.0	181.0	185.0	148.0	230.0	310.0	170.0	206.0	213.0	249.0	375.0	423.0	193.0	691.0	16747.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2 - Second read: Adapter 2	1.6554946105267305	1.580424493557806	3.215157578465463	8.463258592852888	28.434175991159	130.76668048072938	305.8618784530387	1576.79203539823	4897.87610619469	21374.64285714286	73747.14285714286	276145.0	39372.0	38915.0	49334.0	20729.0	40216.0	20280.0	18011.0	22088.0	20665.0	21918.0	18555.0	13975.0	12463.0	13377.0	9314.0	10865.0	7885.0	7112.0	7988.0	6194.0	6841.0	5587.0	4602.0	5554.0	4280.0	2881.0	3232.0	4565.0	2287.0	4376.0	3693.0	2799.0	2096.0	499.0	1035.0	153.0	316.0	256.0	889.0	992.0	227.0	618.0	786.0	201.0	128.0	520.0	77.0	99.0	392.0	73.0	34.0	50.0	21.0	51.0	42.0	83.0	45.0	47.0	58.0	64.0	61.0	28.0	33.0	35.0	67.0	65.0	69.0	59.0	66.0	92.0	116.0	136.0	111.0	174.0	165.0	153.0	205.0	292.0	157.0	200.0	199.0	232.0	332.0	399.0	181.0	142.0	2729.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2 - First read: Adapter 1	1.3270561804471457	1.3561499591963648	2.558150129956514	6.5547435944162995	21.371870102416448	90.15454147834961	318.8804664723032	1149.7668997668998	4266.355140186916	15879.629629629628	52880.0	186115.0	32999.0	30836.0	30126.0	26027.0	20821.0	20168.0	19275.0	16805.0	18663.0	12067.0	13039.0	11626.0	13578.0	12434.0	4420.0	7992.0	6690.0	10784.0	2545.0	3866.0	3187.0	4392.0	4015.0	3267.0	3589.0	3010.0	2488.0	2585.0	2903.0	2764.0	5883.0	260.0	629.0	1813.0	959.0	442.0	1177.0	653.0	340.0	609.0	778.0	327.0	174.0	205.0	282.0	32.0	76.0	302.0	39.0	50.0	113.0	136.0	35.0	68.0	40.0	14.0	6.0	13.0	52.0	49.0	76.0	48.0	73.0	48.0	62.0	63.0	61.0	74.0	84.0	58.0	83.0	104.0	116.0	150.0	147.0	142.0	158.0	256.0	139.0	167.0	225.0	216.0	307.0	359.0	181.0	769.0	19709.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2 - Second read: Adapter 2	1.6226874443416999	1.4916362513959514	2.7869920477091887	6.871651419615848	22.701826001384994	103.20746464499199	254.35568513119534	1276.5268065268065	3829.439252336449	16576.296296296296	56044.28571428572	207605.0	29748.0	28955.0	37292.0	16155.0	31610.0	14821.0	12730.0	16541.0	15781.0	16951.0	14023.0	10561.0	9659.0	10393.0	7163.0	7158.0	7401.0	5848.0	6632.0	4774.0	4644.0	5335.0	4390.0	6939.0	6154.0	1942.0	1556.0	3223.0	1328.0	3291.0	1655.0	1310.0	765.0	282.0	714.0	52.0	187.0	168.0	715.0	793.0	164.0	560.0	632.0	174.0	125.0	492.0	73.0	83.0	313.0	97.0	26.0	38.0	14.0	48.0	25.0	66.0	43.0	41.0	35.0	25.0	29.0	18.0	17.0	28.0	39.0	48.0	48.0	50.0	62.0	48.0	64.0	89.0	102.0	138.0	129.0	136.0	152.0	244.0	137.0	147.0	208.0	206.0	277.0	342.0	139.0	135.0	2755.0
