NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2 - Second read: Adapter 2	1255748	303978	157755	105882	90167	104033	58534	76740	60816	63093	56073	60205	42228	42367	55045	22034	44447	21660	18867	23657	22049	23884	19887	14843	13205	15032	9514	12995	6751	8997	7330	9358	5569	5598	5322	6713	5335	1642	3503	5105	1393	2933	2634	2228	2383	461	1063	167	311	255	912	992	211	678	883	189	126	558	94	106	387	76	32	72	31	68	57	72	37	70	68	87	85	37	42	52	83	73	93	107	132	141	169	198	183	220	231	259	294	444	232	319	341	384	507	633	212	120	2380
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2 - First read: Adapter 1	998778	267734	137822	94311	77533	81970	71903	64787	60848	57819	48387	49798	43984	40764	39461	34394	27168	26563	25444	21198	21319	19325	17328	14612	15001	12409	11785	10253	8254	7782	7358	7054	5947	5565	5185	4756	4044	4474	2423	3435	3295	2482	3634	282	1078	1738	1494	1132	1301	1068	905	831	1119	694	657	792	627	188	203	514	198	193	171	284	193	209	47	18	12	42	72	100	79	67	70	56	91	99	96	83	92	118	140	168	126	181	185	148	230	310	170	206	213	249	375	423	193	691	16747
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2 - Second read: Adapter 2	1227167	292880	148956	98024	82334	94662	55361	71271	55346	59849	51623	55229	39372	38915	49334	20729	40216	20280	18011	22088	20665	21918	18555	13975	12463	13377	9314	10865	7885	7112	7988	6194	6841	5587	4602	5554	4280	2881	3232	4565	2287	4376	3693	2799	2096	499	1035	153	316	256	889	992	227	618	786	201	128	520	77	99	392	73	34	50	21	51	42	83	45	47	58	64	61	28	33	35	67	65	69	59	66	92	116	136	111	174	165	153	205	292	157	200	199	232	332	399	181	142	2729
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2 - First read: Adapter 1	932109	238136	112301	71937	58638	61837	54688	49325	45650	42875	37016	37223	32999	30836	30126	26027	20821	20168	19275	16805	18663	12067	13039	11626	13578	12434	4420	7992	6690	10784	2545	3866	3187	4392	4015	3267	3589	3010	2488	2585	2903	2764	5883	260	629	1813	959	442	1177	653	340	609	778	327	174	205	282	32	76	302	39	50	113	136	35	68	40	14	6	13	52	49	76	48	73	48	62	63	61	74	84	58	83	104	116	150	147	142	158	256	139	167	225	216	307	359	181	769	19709
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2 - Second read: Adapter 2	1139757	261927	122347	75415	62287	70790	43622	54763	40975	44756	39231	41521	29748	28955	37292	16155	31610	14821	12730	16541	15781	16951	14023	10561	9659	10393	7163	7158	7401	5848	6632	4774	4644	5335	4390	6939	6154	1942	1556	3223	1328	3291	1655	1310	765	282	714	52	187	168	715	793	164	560	632	174	125	492	73	83	313	97	26	38	14	48	25	66	43	41	35	25	29	18	17	28	39	48	48	50	62	48	64	89	102	138	129	136	152	244	137	147	208	206	277	342	139	135	2755
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
