Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R1	11715.0	13402.0	15014.0	14568.0	13637.0	13098.0	12940.0	12191.0	11855.0	12221.0	12363.0	12524.0	12714.0	12932.0	13449.0	13756.0	14175.0	14693.0	15561.0	17117.0	18545.0	20975.0	23863.0	27115.0	30080.0	34214.0	38683.0	43831.0	48741.0	55242.0	63950.0	76195.0	90672.0	106904.0	127257.0	155460.0	190401.0	251089.0	704584.0	1719488.0	59872538.0
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2	14874.0	15141.0	14514.0	14563.0	14326.0	14412.0	14112.0	14225.0	14461.0	14298.0	14614.0	15350.0	15565.0	15339.0	15908.0	16585.0	17148.0	17711.0	18447.0	19362.0	20859.0	22209.0	23987.0	26082.0	28751.0	31966.0	37093.0	42980.0	48633.0	55299.0	64257.0	76283.0	90618.0	107256.0	128750.0	156398.0	190032.0	256887.0	780501.0	1999696.0	59470260.0
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R1	10162.0	11720.0	13162.0	12803.0	11645.0	11292.0	10737.0	10479.0	10498.0	10707.0	10609.0	10783.0	10848.0	11156.0	11211.0	12243.0	12436.0	13000.0	13807.0	15160.0	16255.0	18387.0	21037.0	23435.0	26291.0	29698.0	34045.0	39208.0	44965.0	51650.0	60474.0	72419.0	86221.0	102913.0	121903.0	148977.0	181759.0	238126.0	632871.0	1502896.0	53073343.0
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2	12903.0	12898.0	12683.0	12726.0	12626.0	12590.0	12465.0	12428.0	12640.0	12457.0	13080.0	13350.0	13627.0	13547.0	13847.0	14985.0	15066.0	15440.0	16250.0	16999.0	18346.0	20041.0	22046.0	23744.0	26036.0	29356.0	34045.0	39791.0	45683.0	51771.0	61024.0	72713.0	85996.0	102699.0	122408.0	149736.0	179354.0	245078.0	708158.0	1779596.0	52671103.0
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R1	10585.0	12136.0	13749.0	13041.0	12540.0	12341.0	12122.0	11602.0	11578.0	11878.0	11620.0	11781.0	11885.0	12512.0	12731.0	13238.0	13747.0	14308.0	15076.0	16387.0	17457.0	19545.0	22298.0	24911.0	27964.0	32266.0	36875.0	42958.0	49048.0	56113.0	66661.0	79941.0	96021.0	113929.0	136583.0	167049.0	203172.0	269159.0	737337.0	1769663.0	62317306.0
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2	15374.0	15669.0	15094.0	15308.0	15143.0	14886.0	14784.0	14919.0	15077.0	15013.0	15337.0	15555.0	15694.0	15698.0	16468.0	17070.0	17659.0	17976.0	18429.0	19546.0	20604.0	22405.0	24269.0	26288.0	29412.0	32995.0	37620.0	44250.0	49897.0	56887.0	67455.0	79902.0	95673.0	112890.0	136324.0	166816.0	200894.0	274488.0	817030.0	2079420.0	61844895.0
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R1	10248.0	12010.0	13154.0	12945.0	12018.0	11345.0	11565.0	10952.0	10592.0	10843.0	11085.0	11180.0	11486.0	11945.0	11965.0	12991.0	13439.0	14323.0	15302.0	16766.0	18993.0	21655.0	24955.0	28527.0	32301.0	37101.0	43235.0	50552.0	58195.0	67541.0	78736.0	95025.0	114375.0	135378.0	160089.0	192334.0	231006.0	294651.0	686129.0	1500429.0	51438295.0
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2	13385.0	13331.0	12859.0	13019.0	12733.0	12478.0	12842.0	12309.0	13023.0	13007.0	13353.0	13658.0	14007.0	13813.0	14629.0	15585.0	16341.0	16807.0	17652.0	19047.0	21180.0	23224.0	25303.0	28235.0	32057.0	36202.0	42875.0	51123.0	58213.0	67925.0	79204.0	94934.0	114397.0	134841.0	160468.0	192443.0	229813.0	299531.0	761015.0	1774983.0	51043812.0
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R1	6417.0	7349.0	8176.0	8173.0	7427.0	7314.0	7112.0	6774.0	6659.0	6801.0	7250.0	7280.0	7521.0	7675.0	7921.0	8489.0	8849.0	9331.0	10320.0	11441.0	12875.0	14651.0	17431.0	20065.0	22947.0	26801.0	30947.0	36025.0	40802.0	47184.0	55580.0	66458.0	80333.0	95573.0	111908.0	134712.0	160424.0	203610.0	454775.0	965764.0	32771215.0
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2	8463.0	8574.0	8275.0	8348.0	8180.0	8172.0	8168.0	7986.0	8371.0	8362.0	8596.0	8875.0	9132.0	9169.0	9560.0	10149.0	10584.0	11303.0	11741.0	12500.0	13926.0	15415.0	17239.0	18949.0	21663.0	25254.0	29693.0	35539.0	40608.0	46865.0	55459.0	66468.0	79917.0	95302.0	112569.0	134976.0	160040.0	207415.0	498741.0	1133565.0	32534248.0
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R1	10182.0	11691.0	12917.0	12312.0	11528.0	11291.0	10546.0	10519.0	10158.0	10561.0	10430.0	10563.0	10639.0	11179.0	11596.0	12289.0	13136.0	13668.0	14791.0	16305.0	18084.0	20756.0	23745.0	26827.0	30872.0	36091.0	42025.0	50645.0	58523.0	68283.0	80700.0	97379.0	117860.0	140335.0	165449.0	199309.0	238242.0	303322.0	685051.0	1450246.0	49006847.0
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2	12085.0	12157.0	11684.0	11742.0	11617.0	11641.0	11601.0	11440.0	11690.0	11691.0	12364.0	12701.0	13085.0	13133.0	13513.0	14656.0	15342.0	15879.0	16525.0	17650.0	19864.0	22253.0	24433.0	27095.0	31157.0	36076.0	42148.0	50803.0	58650.0	67945.0	80220.0	96177.0	116284.0	137927.0	163296.0	196323.0	231889.0	301879.0	737491.0	1686766.0	48706020.0
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R1	10048.0	11656.0	12938.0	12367.0	11824.0	11170.0	10800.0	10420.0	10232.0	10676.0	10536.0	10621.0	10853.0	11313.0	11673.0	12359.0	12845.0	13548.0	14384.0	15737.0	17244.0	19274.0	22122.0	24989.0	28044.0	32413.0	37923.0	45157.0	52119.0	60872.0	71952.0	86973.0	103653.0	123610.0	146430.0	176839.0	213160.0	273637.0	658316.0	1449036.0	50181664.0
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2	12773.0	12528.0	12056.0	12235.0	11900.0	11785.0	11943.0	11736.0	11830.0	11874.0	12323.0	12668.0	13221.0	12834.0	13601.0	14293.0	14925.0	15424.0	16263.0	17135.0	18769.0	20728.0	22730.0	25237.0	28250.0	32304.0	38145.0	45082.0	51992.0	60316.0	71412.0	85587.0	102560.0	122020.0	145382.0	175751.0	209413.0	277587.0	725073.0	1724625.0	49815117.0
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R1	6823.0	7984.0	8963.0	8897.0	8197.0	8080.0	7666.0	7372.0	7452.0	7616.0	7535.0	7764.0	7780.0	8032.0	8174.0	8787.0	9103.0	9549.0	10267.0	11256.0	12280.0	13922.0	15878.0	17946.0	20598.0	23887.0	27168.0	32123.0	36723.0	42418.0	49826.0	59912.0	72142.0	86046.0	101559.0	124051.0	148620.0	192880.0	475238.0	1068116.0	36547414.0
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2	8792.0	8961.0	8653.0	8758.0	8630.0	8700.0	8707.0	8702.0	8786.0	8816.0	8940.0	9344.0	9612.0	9419.0	9889.0	10394.0	10876.0	11065.0	11928.0	12388.0	13533.0	14734.0	16005.0	17562.0	20452.0	22969.0	26665.0	31736.0	36446.0	41907.0	49233.0	58817.0	70842.0	84465.0	100001.0	121818.0	144309.0	189733.0	510966.0	1228739.0	36343752.0
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R1	6677.0	7704.0	8489.0	8284.0	7667.0	7433.0	7022.0	6805.0	6731.0	6841.0	6703.0	6841.0	6709.0	6970.0	7371.0	7626.0	8260.0	8442.0	9227.0	10028.0	11074.0	12238.0	14266.0	15869.0	17803.0	20927.0	24470.0	29190.0	33773.0	39306.0	46837.0	56608.0	68284.0	81105.0	96319.0	116549.0	141082.0	181417.0	433313.0	954470.0	33124531.0
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2	7715.0	7665.0	7424.0	7501.0	7504.0	7383.0	7477.0	7287.0	7438.0	7508.0	7765.0	7868.0	8175.0	8002.0	8339.0	9168.0	9326.0	9566.0	10346.0	10793.0	12018.0	13158.0	14443.0	16050.0	17848.0	20761.0	24491.0	29167.0	33621.0	39149.0	46586.0	55611.0	67338.0	79653.0	95059.0	114819.0	137468.0	181150.0	473673.0	1123386.0	32911562.0
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R1	7519.0	8648.0	9721.0	9378.0	8822.0	8688.0	8334.0	8261.0	8172.0	8403.0	8392.0	8383.0	8641.0	9249.0	9119.0	9937.0	10105.0	10598.0	11593.0	12604.0	14035.0	16161.0	18414.0	21262.0	24041.0	27369.0	30862.0	36187.0	41251.0	47295.0	55076.0	66428.0	79746.0	94319.0	111410.0	135325.0	162182.0	209541.0	507804.0	1141277.0	38876165.0
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2	9916.0	9655.0	9618.0	9704.0	9732.0	9408.0	9309.0	9349.0	9454.0	9768.0	9979.0	10119.0	10392.0	10266.0	10807.0	11527.0	11786.0	12206.0	12859.0	13723.0	14856.0	16526.0	17915.0	19837.0	22425.0	25337.0	29583.0	35368.0	40667.0	46902.0	54438.0	65770.0	78966.0	93663.0	111538.0	135405.0	161032.0	213417.0	558078.0	1339842.0	38609575.0
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R1	8429.0	9652.0	10693.0	10380.0	9650.0	9479.0	9235.0	8748.0	8542.0	8958.0	8919.0	9050.0	9074.0	9381.0	9582.0	10342.0	10775.0	11268.0	12066.0	13078.0	14885.0	16918.0	19585.0	22017.0	25156.0	29155.0	34147.0	39645.0	46226.0	52791.0	62052.0	74846.0	90372.0	107239.0	126246.0	152056.0	182629.0	235601.0	558570.0	1233596.0	42306614.0
