Sample	Unique Reads	Duplicate Reads
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2	13756796.0	15960057.0
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1	14259746.0	14988937.0
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2	13407223.0	15841460.0
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R1	16430096.0	18003699.0
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2	15420632.0	19013163.0
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R1	23418570.0	30596374.0
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2	21593378.0	32421566.0
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R1	15446326.0	16471806.0
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2	14494560.0	17423572.0
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R1	13128869.0	13786031.0
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2	12200976.0	14713924.0
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R1	13080969.0	12820752.0
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2	12624774.0	13276947.0
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R1	19604950.0	23731971.0
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2	18438457.0	24898464.0
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R1	14416477.0	14437949.0
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R2	13421864.0	15432562.0
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R1	17344190.0	20857577.0
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R2	16090469.0	22111298.0
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R1	13242990.0	12446412.0
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R2	12436628.0	13252774.0
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R1	14750871.0	14491170.0
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R2	13773392.0	15468649.0
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R1	17343611.0	19688815.0
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R2	16558740.0	20473686.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R1	24768426.0	32698339.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R2	22591736.0	34875029.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC_R1	16335947.0	18823267.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC_R2	15211802.0	19947412.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP_R1	15897611.0	19073796.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP_R2	14807891.0	20163516.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP_R1	14387821.0	14794597.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP_R2	13844485.0	15337933.0
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC_R1	13070282.0	12539470.0
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC_R2	12209033.0	13400719.0
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP_R1	18229371.0	22563198.0
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP_R2	16826354.0	23966215.0
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP_R1	15127153.0	14099224.0
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP_R2	14278538.0	14947839.0
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP_R1	13958669.0	13596226.0
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP_R2	13046748.0	14508147.0
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R1	16772882.0	18279589.0
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R2	15728864.0	19323607.0
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R1	12532789.0	12543743.0
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R2	11845405.0	13231127.0
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP_R1	11479813.0	9832759.0
