Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2	NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54061427.0	0.0	20-101	52.0	38.26270748336607	99.16416645827718	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39336044.0	0.0	20-101	51.0	46.01782230301041	99.2291417001669	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39336044.0	0.0	20-101	51.0	43.08795470134627	99.18631253310576	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R1	NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35671261.0	0.0	20-101	51.0	45.198605216976816	99.22018091819069	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2	NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35671261.0	0.0	20-101	52.0	42.2327870479761	99.1893291913622	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R1	NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41900717.0	0.0	20-101	51.0	45.65230458492221	99.20040217927536	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2	NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41900717.0	0.0	20-101	51.0	43.1629085489149	99.15655973142417	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R1	NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45627647.0	0.0	20-101	51.0	45.60204337358857	99.19662699240222	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2	NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45627647.0	0.0	20-101	51.0	42.21118878734659	99.14835415466416	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R1	NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59449298.0	0.0	20-101	51.0	42.10167905510325	99.20536417435913	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2	NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59449298.0	0.0	20-101	52.0	39.54747177624397	99.14880253085579	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R1	NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52589176.0	0.0	20-101	51.0	42.624304982242926	99.20544311247623	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2	NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52589176.0	0.0	20-101	52.0	39.99727058570225	99.14460682935972	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R1	NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34727232.0	0.0	20-101	51.0	49.081576356562465	99.26618741165434	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2	NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34727232.0	0.0	20-101	51.0	46.94261576697147	99.17704324951669	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R1	NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29881685.0	0.0	20-101	50.0	49.64265860540071	99.17960683944028	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2	NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29881685.0	0.0	20-101	51.0	46.36022801958086	99.14954340760904	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R1	NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47185413.0	0.0	20-101	51.0	42.9313705152994	99.17112082922746	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2	NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47185413.0	0.0	20-101	52.0	38.92767276116354	99.1579090766886	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R1	NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30280063.0	0.0	20-101	51.0	51.00442366470496	99.19293067521029	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2	NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30280063.0	0.0	20-101	51.0	47.84579042018276	99.1575849099125	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R1	NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36289650.0	0.0	20-101	51.0	45.56707584368323	99.1679519642653	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2	NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36289650.0	0.0	20-101	51.0	42.70772425067682	99.12798370885362	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28387249.0	0.0	20-101	52.0	48.3191808051914	99.20559861225017	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28387249.0	0.0	20-101	52.0	45.26620756714615	99.17791294253276	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R1	NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45587946.0	0.0	20-101	51.0	44.09433808643256	99.29029691313576	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2	NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45587946.0	0.0	20-101	51.0	40.93592982320426	99.22905537354107	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29716853.0	0.0	20-101	51.0	48.847315395621536	99.27179644493312	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29716853.0	0.0	20-101	52.0	46.29290697207165	99.20759079031686	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1	NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29248683.0	0.0	20-101	52.0	48.75346107237879	99.2085355091031	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2	NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29248683.0	0.0	20-101	52.0	45.838720456265825	99.15063956896795	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R1	NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34433795.0	0.0	20-101	51.0	47.71503087080002	99.21327846669239	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2	NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34433795.0	0.0	20-101	51.0	44.78341999774814	99.15031741345966	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R1	NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54014944.0	0.0	20-101	51.0	43.35572268125048	99.16855590926836	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2	NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54014944.0	0.0	20-101	51.0	39.976672102345354	99.13483205684709	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R1	NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31918132.0	0.0	20-101	51.0	48.3935765579311	99.19193422722859	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2	NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31918132.0	0.0	20-101	51.0	45.41167741803429	99.17649710828942	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R1	NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26914900.0	0.0	20-101	51.0	48.779184450221315	99.27294561748326	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2	NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26914900.0	0.0	20-101	51.0	45.33167677267842	99.23372451690328	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R1	NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25901721.0	0.0	20-101	51.0	50.50231377861102	99.1605766273214	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2	NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25901721.0	0.0	20-101	51.0	48.74106101752639	99.07921130028387	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43336921.0	0.0	20-101	51.0	45.238446439906134	99.27483694561504	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43336921.0	0.0	20-101	51.0	42.5467620810164	99.21754796562497	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R1	NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28854426.0	0.0	20-101	51.0	49.96279154910147	99.19562177393513	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R2	NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28854426.0	0.0	20-101	52.0	46.515788578959274	99.15431906356412	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
