Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47377723.0	0.0	20-101	51.0	43.1896996477719	99.20411350287982	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47377723.0	0.0	20-101	52.0	39.81651504533807	99.17905936509443	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R1	NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52525360.0	0.0	20-101	52.0	42.21081142645994	99.15573273557763	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2	NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52525360.0	0.0	20-101	52.0	39.20091555541038	99.1187897046303	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R1	NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48141682.0	0.0	20-101	51.0	43.05545201720494	99.16124102186542	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2	NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48141682.0	0.0	20-101	52.0	39.254676617303886	99.15308800386326	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R1	NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47019143.0	0.0	20-101	51.0	44.09051800581313	99.19459774075423	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2	NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47019143.0	0.0	20-101	51.0	41.17037710153173	99.15286265425978	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R1	NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44533814.0	0.0	20-101	51.0	43.97651830784093	99.2762080517065	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2	NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44533814.0	0.0	20-101	51.0	41.79104582125127	99.19039245100363	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R1	NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63969752.0	0.0	20-101	50.0	42.279969673156735	99.30889002039589	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2	NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63969752.0	0.0	20-101	50.0	38.905034855583395	99.25843414243657	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R1	NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56761331.0	0.0	20-101	51.0	42.26972580053901	99.30063704813405	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2	NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56761331.0	0.0	20-101	51.0	39.41137573575369	99.24228982579707	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R1	NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66541113.0	0.0	20-101	51.0	41.35397481108863	99.34161954880436	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2	NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66541113.0	0.0	20-101	51.0	38.46153826174215	99.26021967802072	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R1	NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55555656.0	0.0	20-101	51.0	43.00584117160373	99.17183420532376	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2	NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55555656.0	0.0	20-101	51.0	40.00733953828209	99.1145945248131	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35528359.0	0.0	20-101	51.0	46.38360208417751	99.12540401880086	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35528359.0	0.0	20-101	51.0	43.82154161396704	99.07040806472374	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53096892.0	0.0	20-101	51.0	42.12821455227724	99.14273065173005	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53096892.0	0.0	20-101	51.0	38.65502948457184	99.10362384299255	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R1	NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54061427.0	0.0	20-101	51.0	41.27928202196955	99.20885443885896	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
