Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	Unknown Library	0.0	56433127.0	5821624.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP	Unknown Library	0.0	34321834.0	3766470.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP	Unknown Library	0.0	28690567.0	2842022.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC	Unknown Library	0.0	25190552.0	2635976.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP	Unknown Library	0.0	40089311.0	4099954.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP	Unknown Library	0.0	28638426.0	2813534.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP	Unknown Library	0.0	27093353.0	2701474.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC	Unknown Library	0.0	34398039.0	3796010.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP	Unknown Library	0.0	24625968.0	2611752.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC	Unknown Library	0.0	33190139.0	3523158.0	0.0	0.0	0.0	0.0	0.0	
