Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
1223_4_i1	99.965708427627	68.0	8.0	36.36363636363637	220832685.0				
1223_4_i2	99.96577182403955	46.0	8.0	36.36363636363637	220832685.0				
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP						0.0	93.58	44713779.0	
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R1	56.992603717067944	51.0	101.0	18.181818181818183	47781704.0				0.3513775548237393
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2	60.033383595582194	52.0	101.0	9.090909090909092	47781704.0				
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP						0.0	93.7	49606534.0	
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R1	58.02287355625462	52.0	101.0	18.181818181818183	52943903.0				0.39683628691273704
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2	60.716166916625454	52.0	101.0	9.090909090909092	52943903.0				
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC						0.0	93.39	45320459.0	
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R1	57.201022900180185	51.0	101.0	18.181818181818183	48528258.0				0.3770587735818697
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2	60.70013156785352	52.0	101.0	9.090909090909092	48528258.0				
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP						0.0	93.46	44340179.0	
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R1	56.12584682760852	51.0	101.0	18.181818181818183	47441220.0				0.3649103580021219
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2	58.73001296118294	51.0	101.0	9.090909090909092	47441220.0				
