Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP	Unknown Library	0.0	46487718.0	4825030.0	0.0	0.0	9621536.0	465437.0	0.206969	99751549.0
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP	Unknown Library	0.0	51454557.0	5126648.0	0.0	0.0	12492801.0	670458.0	0.242793	91392485.0
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC	Unknown Library	0.0	47135193.0	4954850.0	0.0	0.0	9648102.0	474512.0	0.20469	102542933.0
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP	Unknown Library	0.0	46109382.0	4814450.0	0.0	0.0	9523271.0	478842.0	0.206537	99332557.0
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP	Unknown Library	0.0	43807435.0	4561568.0	0.0	0.0	8698008.0	463922.0	0.198551	99119770.0
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC	Unknown Library	0.0	62994011.0	6999164.0	0.0	0.0	12464312.0	605790.0	0.197865	142582102.0
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP	Unknown Library	0.0	55874934.0	5578722.0	0.0	0.0	11119729.0	519770.0	0.199011	125428315.0
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP	Unknown Library	0.0	65518457.0	6628870.0	0.0	0.0	13282086.0	677647.0	0.202723	144382311.0
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC	Unknown Library	0.0	54393589.0	6040764.0	0.0	0.0	11956423.0	571848.0	0.219813	108567535.0
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC	Unknown Library	0.0	34746793.0	3859360.0	0.0	0.0	7246182.0	421345.0	0.208542	74452308.0
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP	Unknown Library	0.0	51964251.0	5561564.0	0.0	0.0	11001227.0	518831.0	0.211708	108437462.0
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP	Unknown Library	0.0	53033436.0	5355380.0	0.0	0.0	11665530.0	570094.0	0.219966	105847722.0
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC	Unknown Library	0.0	38602245.0	4191832.0	0.0	0.0	7497889.0	389337.0	0.194235	89531749.0
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP	Unknown Library	0.0	35029506.0	3626712.0	0.0	0.0	6450339.0	329573.0	0.18414	86417668.0
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP	Unknown Library	0.0	41109143.0	4151810.0	0.0	0.0	8830452.0	571112.0	0.214805	85453874.0
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC	Unknown Library	0.0	44742646.0	4725882.0	0.0	0.0	8698701.0	450368.0	0.194416	103646950.0
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP	Unknown Library	0.0	58288660.0	6007688.0	0.0	0.0	12406943.0	590830.0	0.212853	120896329.0
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP	Unknown Library	0.0	51561243.0	5120144.0	0.0	0.0	11086475.0	564448.0	0.215016	105924053.0
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP	Unknown Library	0.0	34155475.0	3529670.0	0.0	0.0	6365944.0	376816.0	0.186381	83627723.0
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC	Unknown Library	0.0	29281657.0	3267876.0	0.0	0.0	5416441.0	316562.0	0.184977	72286014.0
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP	Unknown Library	0.0	46239703.0	4786274.0	0.0	0.0	9804427.0	495034.0	0.212035	96559980.0
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP	Unknown Library	0.0	29688456.0	2982018.0	0.0	0.0	5181393.0	311393.0	0.174526	78515064.0
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC	Unknown Library	0.0	35561322.0	4013798.0	0.0	0.0	7752238.0	478672.0	0.217996	72456925.0
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP	Unknown Library	0.0	27845423.0	2917572.0	0.0	0.0	5312264.0	284822.0	0.190777	66046891.0
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP	Unknown Library	0.0	44880086.0	4625248.0	0.0	0.0	10650663.0	723330.0	0.237314	82856102.0
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC	Unknown Library	0.0	29198215.0	3067958.0	0.0	0.0	5370550.0	315121.0	0.183934	72570347.0
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP	Unknown Library	0.0	28690994.0	2926148.0	0.0	0.0	5215822.0	294918.0	0.181793	72162416.0
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP	Unknown Library	0.0	33782950.0	3291388.0	0.0	0.0	6603248.0	414510.0	0.195461	78452464.0
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP	Unknown Library	0.0	52912741.0	5388338.0	0.0	0.0	11504252.0	591653.0	0.217419	107303083.0
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC	Unknown Library	0.0	31324760.0	3392674.0	0.0	0.0	6014267.0	370176.0	0.191997	74217484.0
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP	Unknown Library	0.0	26473746.0	2840258.0	0.0	0.0	4766604.0	290336.0	0.18005	67576288.0
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP	Unknown Library	0.0	25371919.0	2634784.0	0.0	0.0	4806795.0	324749.0	0.189453	61360881.0
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC	Unknown Library	0.0	42642397.0	4409440.0	0.0	0.0	7967809.0	406863.0	0.186852	103419905.0
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP	Unknown Library	0.0	28303170.0	2988972.0	0.0	0.0	4915587.0	280035.0	0.173676	75079469.0
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP	Unknown Library	0.0	37533181.0	3701370.0	0.0	0.0	7824820.0	468383.0	0.208477	80560353.0
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC	Unknown Library	0.0	25198138.0	2672608.0	0.0	0.0	4283546.0	248027.0	0.169995	68566012.0
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC	Unknown Library	0.0	28677084.0	3030546.0	0.0	0.0	5376794.0	323388.0	0.187494	69781268.0
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP	Unknown Library	0.0	36350931.0	3804572.0	0.0	0.0	7024662.0	377619.0	0.193246	84940496.0
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	Unknown Library	0.0	56433127.0	5821624.0	0.0	0.0	11055662.0	558281.0	0.195907	129428601.0
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC	Unknown Library	0.0	34492163.0	3640130.0	0.0	0.0	6933504.0	410934.0	0.201017	77274037.0
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP	Unknown Library	0.0	34321834.0	3766470.0	0.0	0.0	6958765.0	384151.0	0.20275	75870683.0
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP	Unknown Library	0.0	28690567.0	2842022.0	0.0	0.0	5032825.0	292702.0	0.175417	75309452.0
