Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R1	NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35048824.0	0.0	101.0	50.0	48.87787336606543	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2	NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35048824.0	0.0	101.0	51.0	47.11330530751223	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R1	NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30107510.0	0.0	101.0	50.0	49.39633836393925	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2	NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30107510.0	0.0	101.0	51.0	46.392964571974616	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R1	NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47563263.0	0.0	101.0	51.0	42.6906389555183	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2	NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47563263.0	0.0	101.0	52.0	38.97017456902394	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R1	NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30528345.0	0.0	101.0	51.0	50.78489204541208	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2	NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30528345.0	0.0	101.0	51.0	47.896045409652935	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R1	NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36616291.0	0.0	101.0	51.0	45.37257910186145	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2	NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36616291.0	0.0	101.0	51.0	42.86037465152132	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28622491.0	0.0	101.0	52.0	48.13790614582876	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28622491.0	0.0	101.0	52.0	45.38801827744521	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R1	NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45962658.0	0.0	101.0	51.0	43.92203152616335	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2	NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45962658.0	0.0	101.0	51.0	41.070301438021744	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29959481.0	0.0	101.0	51.0	48.63232516679062	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29959481.0	0.0	101.0	52.0	46.39592340147558	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1	NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29511736.0	0.0	101.0	52.0	48.558487796889345	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
