Sample	bp_processed	bp_written	percent_trimmed
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R1	7142589710	7117914192	0.3454701866110689
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R1	5112720798	5095579732	0.33526309527219367
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP_R1	4345423394	4331493336	0.3205684863581788
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC_R1	6913976614	6887059242	0.38931823902174395
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP_R1	6895545932	6870236512	0.36704011907958095
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP_R1	7154726880	7131123732	0.32989586319471076
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R1	5259113834	5242465348	0.31656447313172953
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R1	13983850768	13936786315	0.33656289516261234
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R1	5925692220	5905693003	0.33750009716164436
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R1	4882062048	4863434365	0.3815535897916552
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R1	5501091452	5482422528	0.3393676357300449
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R1	6499699056	6479797989	0.3061844375952904
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R1	7838640502	7814203990	0.3117442622067579
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R1	4734145528	4718630386	0.3277284550767616
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP_R1	6397290308	6376348613	0.3273525819800892
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP_R1	5650502570	5632128432	0.32517705765772265
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC_R1	5521672222	5502728775	0.3430744571277451
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC_R1	9501618026	9470899145	0.323301577856967
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP_R1	8052726970	8026561697	0.32492437776019617
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP_R1	8083035050	8055094352	0.34567087519928547
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC_R1	6356514386	6337227996	0.30341141117335624
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP_R1	6528161866	6501091268	0.41467412352302724
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP_R1	5713770788	5695018578	0.3281932491828897
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC_R1	6995335952	6970672242	0.3525736314772492
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP_R1	9726075982	9695655203	0.3127754611037337
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP_R1	7280003442	7258612970	0.2938250259140468
