Sample	bp_processed	quality_trimmed	bp_written	percent_trimmed
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP_R2	8312494728	4294606	8271479698	0.4934142076727462
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP_R2	5961754068	3213216	5926331026	0.5941714736294621
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP_R2	5613833510	2938612	5587090224	0.4763818868579165
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R2	7142589710	3750657	7105005695	0.5261959110906288
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R2	5112720798	2679876	5086568151	0.5115211260945527
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP_R2	4345423394	2384589	4324050053	0.4918586536242135
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC_R2	6913976614	3773702	6872990144	0.592806025941817
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP_R2	6895545932	3643611	6856590089	0.5649421145788983
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP_R2	7154726880	3654964	7118906035	0.5006598518824243
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R2	5259113834	2833658	5233628478	0.4845941123243616
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R2	13983850768	7094485	13912842781	0.5077856463005984
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R2	5925692220	3162743	5895105260	0.51617530685723
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R2	4882062048	2531159	4853633651	0.5823030662145324
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R2	5501091452	3214305	5472296554	0.5234397255753893
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R2	6499699056	3352370	6469080461	0.47107711812803665
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R2	7838640502	4132157	7801107892	0.4788152995461865
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R2	4734145528	2568080	4710383254	0.5019337462158387
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP_R2	6397290308	3459692	6365161902	0.5022189779291786
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP_R2	5650502570	3035582	5622469583	0.49611493230415427
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC_R2	5521672222	3050058	5492602704	0.526462217083048
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC_R2	9501618026	5249500	9454140417	0.4996792006380746
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP_R2	8052726970	4456662	8012363188	0.5012436426861744
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP_R2	8083035050	4282984	8040125808	0.5308555726230582
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC_R2	6356514386	3429108	6326702678	0.46899458082969564
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP_R2	6528161866	3426837	6486935418	0.6315169391665326
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP_R2	5713770788	3213479	5684879543	0.5056423519941872
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC_R2	6995335952	3969757	6957316748	0.5434936114702272
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP_R2	9726075982	5702497	9678949308	0.48453943900106367
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP_R2	7280003442	4326564	7247018510	0.4530895110530087
