Sample	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2 - First read: Adapter 1	1002209	272611	135966	93722	80899	77538	71992	64606	60777	55939	50414	48331	42852	40393	37294	33963	27786	26635	24448	21256	20186	18630	16674	14648	13924	12254	11228	10142	8115	8005	7076	6516	5922	5009	5074	4585	4121	3572	3308	2920	2898	2041	3802	454	1304	1760	1448	1290	1220	1060	915	858	884	603	592	614	715	386	278	504	283	282	244	390	257	434	176	99	61	98	113	94	75	83	74	66	97	89	101	81	106	129	113	145	156	171	182	139	211	328	173	259	271	312	399	490	190	379	12515
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2 - Second read: Adapter 2	1232991	298540	146543	97801	83095	83353	64982	67864	58696	56201	52020	50255	40725	39686	42695	25997	33982	24501	21805	21701	19953	18953	17351	14614	13146	13191	10027	11163	7174	8435	6647	6483	13247	6320	2229	2630	4626	680	2669	4927	1548	5224	2196	1177	1178	590	1785	273	509	218	723	1095	433	601	904	442	393	791	400	214	673	631	312	283	266	126	117	122	68	42	71	60	67	64	31	37	51	61	89	83	98	115	119	121	150	158	180	141	207	329	183	244	263	328	386	492	182	117	4162
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2 - First read: Adapter 1	1110461	311974	161374	113503	98454	96673	88650	79441	75696	69034	61937	60058	53747	50325	47488	42448	35635	33716	30931	27243	26747	23878	21989	19172	18488	17256	13752	13350	11147	10648	9576	8577	8286	7220	7018	6034	5629	5269	4426	4034	4030	3354	5386	613	2255	3076	2475	1367	2147	1617	1191	1366	1751	1063	861	773	1395	341	296	1094	367	284	340	742	210	560	267	171	35	121	128	130	96	83	72	66	76	77	74	81	77	89	101	98	127	118	128	145	189	235	133	153	234	239	332	399	198	689	22186
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2 - Second read: Adapter 2	1369890	338176	172425	118018	100255	100706	83364	82868	73510	69471	63795	62063	50488	50272	49191	37726	37682	35608	29032	27738	26029	23761	22593	19280	18914	16306	14083	13021	11889	10183	10775	8206	7654	7303	8735	5093	5506	5694	3376	4554	3236	3778	3711	2976	4072	1129	3681	668	1183	655	1446	2003	442	1114	1979	529	338	1658	324	244	1569	589	168	360	179	196	251	301	107	146	165	81	80	45	57	50	74	69	65	78	73	88	98	92	122	121	128	147	195	231	133	158	241	237	328	410	200	149	6872
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2 - First read: Adapter 1	1025533	284735	146202	102914	87791	85767	78882	71962	67353	61125	55389	53142	47956	44212	41492	37241	31485	29392	27121	23651	22272	20872	18598	16057	15511	13562	12470	10977	9351	8798	7852	7438	6035	5889	5401	4889	4294	3906	3417	3034	3074	2395	3663	555	1700	1764	1567	1410	1197	1088	977	891	973	657	654	696	739	361	349	606	296	244	225	390	240	418	207	129	48	100	118	112	108	112	118	103	118	115	131	140	163	178	206	227	212	255	253	282	303	485	244	333	380	406	546	681	219	427	15705
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2 - Second read: Adapter 2	1256765	310721	156297	106095	90395	93736	69415	74944	65739	61899	56684	55914	44903	44342	47115	29359	38911	26433	23525	24274	22004	21257	19312	16086	14548	14381	11246	12052	8331	8776	7723	8017	5915	5669	5302	5333	4811	2595	3527	4129	1868	2832	2769	2034	2961	813	2334	464	710	456	1007	1328	328	755	1300	345	278	1047	214	218	1000	410	126	221	111	133	166	239	90	125	138	113	110	79	78	74	105	111	115	132	161	165	195	221	213	233	251	287	301	478	256	329	374	407	544	677	224	94	2517
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2 - First read: Adapter 1	998794	274393	137510	95007	81528	78546	73300	66036	62918	58006	51023	49518	44405	41016	38184	34517	29264	27151	25420	22095	20818	19649	17465	15204	14805	12543	11866	10386	8785	7891	7497	6895	5998	5541	5158	4689	4046	3901	2917	3164	2977	2412	3553	549	1566	1774	1534	1367	1280	1068	951	916	925	681	636	715	712	368	307	547	344	267	241	352	278	411	167	111	59	88	97	119	85	74	77	63	93	99	104	85	94	122	137	174	130	182	183	155	233	314	168	216	217	253	373	434	189	521	17115
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2 - Second read: Adapter 2	1228125	298959	147208	98426	83318	85514	64492	69133	60674	58808	52360	51623	41832	40617	43000	27183	35822	24638	22225	22632	20565	19989	18159	15247	13728	13093	10811	10690	8747	7664	7694	6527	6407	5440	4939	4787	4132	3326	3225	3519	2378	2916	2757	2131	2566	893	2333	474	732	472	1006	1300	396	713	1218	377	287	994	205	238	986	362	120	219	95	167	145	231	93	95	134	100	75	49	48	58	78	95	97	87	81	118	126	165	118	179	184	163	224	311	169	208	210	267	358	425	188	103	2907
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2 - First read: Adapter 1	931278	243929	112240	72281	61681	59345	55666	50382	47018	43037	38978	37052	33223	31054	28971	26095	22239	20526	19096	16924	17028	13843	13223	11695	11725	11762	6665	8041	6932	8675	3973	5171	4032	4463	4159	3488	3363	3027	2629	2439	2417	2051	3122	510	1144	2067	1244	704	1302	929	648	888	1195	558	402	468	794	134	216	687	198	143	256	415	116	308	172	97	24	64	88	66	84	54	77	56	66	65	65	75	84	63	85	106	119	153	145	145	163	263	139	170	237	215	310	360	163	587	20104
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2 - Second read: Adapter 2	1144185	267629	121145	75901	63185	64280	50011	53030	45155	43584	39973	38796	31334	30659	32485	20831	27772	18350	16150	17023	15778	15344	13858	11516	10527	10254	8292	7634	7174	6142	6207	5041	4666	4603	4038	4233	3882	2255	2177	3163	1671	3598	1903	1388	2092	626	1972	265	497	346	860	1131	320	671	996	337	283	944	251	221	853	519	133	190	109	114	93	186	79	85	94	56	74	36	48	48	57	65	61	78	74	61	73	101	116	151	141	149	160	260	146	160	225	211	302	365	145	108	2917
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2 - First read: Adapter 1	1349858	334806	142361	86929	73300	72121	65715	59713	56133	51005	46098	43474	39442	36781	34134	30815	26131	24341	22576	19780	18697	17690	15644	13838	13303	11919	10573	9334	8028	7562	6794	6555	6016	4979	4814	4482	4076	3586	3269	3075	3015	2073	2696	1242	1868	2209	1515	1136	1798	878	668	1171	1594	652	455	458	913	140	206	842	170	145	299	513	131	361	226	146	20	76	98	116	77	96	71	80	66	73	68	88	93	91	117	142	138	177	192	164	210	307	192	246	290	273	413	545	356	1314	58859
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2 - Second read: Adapter 2	1622883	366976	155782	91730	76902	81098	57012	63459	54033	51855	47011	46505	37079	36439	39596	23578	32799	21747	19446	20259	18534	17969	16090	13797	12721	12073	10078	9301	8261	7185	6812	6405	6085	5350	4883	4391	3773	3610	3272	3583	2209	2846	2361	1981	2972	806	2367	544	815	498	1018	1380	382	807	1422	381	256	1097	228	242	1081	377	136	239	134	177	176	261	119	129	119	97	78	60	59	65	60	73	67	83	84	81	110	137	144	171	194	166	203	314	202	251	281	276	422	570	327	290	11167
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2 - First read: Adapter 1	1188906	302596	136257	86814	74141	71773	64762	59289	55637	50396	45732	42763	39482	35919	33779	30866	25272	23950	22218	19075	18526	17127	15331	13401	12854	11331	10236	8948	7808	7198	6488	6285	5602	4863	4736	4486	3699	3213	3148	2693	2890	2138	3650	430	1385	3714	861	383	2173	840	337	1369	1891	438	273	239	873	77	95	914	111	81	229	588	58	196	166	121	23	49	106	86	70	75	68	84	79	72	83	76	90	64	97	142	124	155	146	143	199	316	150	197	263	242	352	440	171	613	20009
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2 - Second read: Adapter 2	1450542	333248	147802	91173	76225	77742	56954	62560	53700	51087	45695	46058	36426	35504	38926	23164	31736	21538	19305	19474	18323	16935	16119	13485	12243	12275	8946	10363	6508	8066	5660	6640	4979	4866	4699	6529	3189	2402	2981	3001	2238	4377	2257	1432	2114	625	2091	283	517	316	934	1302	364	709	1314	441	368	1020	275	176	838	643	169	251	144	112	98	195	58	65	103	66	57	39	40	74	71	67	75	78	78	64	99	127	117	157	141	148	202	314	146	197	261	248	337	441	164	124	4270
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2 - First read: Adapter 1	1387357	351226	154576	96124	80919	77350	72993	65269	61250	55462	49793	47205	42372	39756	36578	32770	27865	25831	24016	20551	19349	18095	16338	14145	13646	11986	10555	9606	8197	7696	6761	6342	5621	6355	5969	1093	3737	3398	2804	2705	2677	2211	3528	575	915	1669	1387	1034	1112	923	883	829	881	580	611	563	642	263	237	584	293	235	256	461	234	445	186	107	62	99	138	149	123	145	129	168	154	175	195	185	230	262	330	323	331	406	407	386	473	725	397	502	638	605	950	1096	338	501	17081
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2 - Second read: Adapter 2	1697560	386090	168425	101233	82899	81553	67872	67814	59644	56076	50853	49264	39883	39400	41055	25874	33580	23758	21031	21001	19132	17771	16413	14495	13691	11622	10610	9177	8762	7171	7065	6095	5534	5560	4679	3969	3962	4681	1472	3992	1668	3489	2441	1425	1541	713	1842	264	475	277	867	1156	368	630	1024	346	313	863	272	233	836	679	211	244	164	143	114	230	97	112	129	138	154	102	81	120	134	150	167	174	208	255	310	299	309	394	412	385	467	726	400	489	640	592	947	1088	361	123	3305
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2 - First read: Adapter 1	1187441	326727	165898	116949	100046	96898	90698	81097	76732	70079	64188	59505	55428	50969	47238	43072	35451	33741	30879	27480	25931	24292	21445	19029	18242	15881	14394	12741	10859	10145	9387	8574	7993	6851	6375	6445	4795	4801	4260	3682	3674	3128	4246	729	2216	3175	1807	966	2064	1219	823	1293	1783	749	560	576	1091	173	204	1001	195	156	318	604	124	367	234	126	39	113	144	141	113	103	137	131	136	143	133	154	189	199	217	226	247	284	289	288	315	538	280	345	419	415	619	707	298	736	24159
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2 - Second read: Adapter 2	1453445	357167	180066	121132	101705	101151	85446	84339	75002	70587	65036	63429	51362	51203	52555	34193	42529	31622	27766	28026	25726	24263	22377	18754	17705	16523	13253	12696	11058	9742	9824	8337	7837	7250	6259	5607	5325	5700	3416	4195	2841	3047	2948	2648	3573	1209	2614	920	1194	789	1269	1558	451	946	1510	460	326	1253	265	290	1156	298	180	273	184	208	254	286	150	196	181	131	111	73	93	108	115	129	125	148	182	191	206	217	237	280	279	293	319	529	297	333	402	423	619	695	291	146	4517
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2 - First read: Adapter 1	768155	218287	114975	82648	71735	69168	63862	57594	55091	49748	45233	43274	39378	36449	33742	30216	25596	23811	22446	19052	18486	17142	15424	13587	12932	11378	10419	9223	7862	6984	6709	6137	5177	5159	4535	3831	3622	3403	2815	2667	2476	2108	3261	453	1451	3825	759	292	2267	601	197	1022	1454	251	131	157	623	52	84	708	80	71	182	387	46	148	152	106	18	25	58	58	71	67	53	67	77	69	64	76	94	85	99	118	136	166	178	155	181	233	144	195	212	258	347	345	171	415	12070
